job_id,post_date,industry,company,company_size,work_type,experience_level,education_required,salary_midpoint,skills_required,is_tech_role,education_background,min_GPA_requirement,job_title,year
J0000001,2023-12-30,Education,Summit Digital,Enterprise (5000+),On-site,Entry (0-2 yrs),Bachelor's,139000,Python|Financial Modeling|Derivatives,0,Informatics Engineering|Mathematics|Statistics,3.3,Quantitative Analyst,2023
J0000002,2022-05-25,Education,Nexus AI,Large (1001-5000),On-site,Executive (15+ yrs),Bachelor's,362000,Redis|Docker|Python|Java|AWS,0,Informatics Engineering,3.76,Backend Developer,2022
J0000003,2020-09-08,Consulting,Summit Corp,Mid-size (201-1000),On-site,Senior (6-9 yrs),PhD,136000,Compensation|Talent Acquisition|Employment Law,0,Law,3.59,HR Manager,2020
J0000004,2022-01-21,Healthcare,Summit Systems,Large (1001-5000),Hybrid,Senior (6-9 yrs),Bachelor's,306000,Terraform|GCP|Microservices,0,Information Systems,3.48,Cloud Architect,2022
J0000005,2024-11-07,Manufacturing,Stellar Ventures,Large (1001-5000),On-site,Mid (3-5 yrs),Master's,185000,Git|Kubernetes|Java|Docker|Python|REST APIs,0,Information Systems|Informatics Engineering|Computer Science,3.12,Software Engineer,2024
J0000006,2023-11-01,Logistics,Nexus Partners,Small (51-200),On-site,Lead (10-15 yrs),Bachelor's,167000,Lean|Budgeting|Process Improvement|ERP,0,Management,3.12,Operations Manager,2023
J0000007,2020-06-09,Government,Synergy AI,Startup (1-50),On-site,Senior (6-9 yrs),Bachelor's,204000,Statistics|R|Python|C++|Derivatives,0,Informatics Engineering,3.05,Quantitative Analyst,2020
J0000008,2023-09-15,Government,Nova Technologies,Small (51-200),Hybrid,Mid (3-5 yrs),Master's,264000,Python|Derivatives|Risk Management|R|C++,0,Mathematics,3.69,Quantitative Analyst,2023
J0000009,2024-03-15,E-commerce,Apex Technologies,Mid-size (201-1000),Hybrid,Mid (3-5 yrs),Bachelor's,169000,Java|Docker|AWS|Python|CI/CD,0,Informatics Engineering|Information Systems|Computer Science,3.48,Senior Software Engineer,2024
J0000010,2023-09-30,Media,Stellar Technologies,Startup (1-50),On-site,Entry (0-2 yrs),Master's,141000,dbt|Snowflake|AWS|Spark|Python,0,Statistics,3.57,Data Engineer,2023
J0000011,2020-10-01,Retail,Apex Systems,Enterprise (5000+),On-site,Lead (10-15 yrs),Master's,171000,HTML/CSS|Figma|React|JavaScript|TypeScript,0,Computer Science|Informatics Engineering|Information Systems,3.02,Frontend Developer,2020
