job_id,post_date,year,month,industry,company,company_size,location,state,work_type,experience_level,experience_min_yrs,experience_max_yrs,education_required,salary_min,salary_max,salary_midpoint,skills_required,benefits,days_to_fill,applicant_count,seniority,is_tech_role,education_background,min_GPA_requirement,job_title
J0000001,2023-12-30,2023,12,Education,Summit Digital,Enterprise (5000+),Remote,Remote,On-site,Entry (0-2 yrs),0,2,Bachelor's,126000,153000,139000,Python|Financial Modeling|Derivatives,Dental/Vision|Stock Options|401k,29,41,Junior,0,Informatics Engineering|Mathematics|Statistics,3.3,Quantitative Analyst
J0000002,2022-05-25,2022,5,Education,Nexus AI,Large (1001-5000),"Boston, MA",MA,On-site,Executive (15+ yrs),15,20,Bachelor's,297000,432000,362000,Redis|Docker|Python|Java|AWS,Health Insurance|Flexible Hours|Remote Work|Dental/Vision,20,88,Executive,0,Informatics Engineering,3.76,Backend Developer
J0000003,2020-09-08,2020,9,Consulting,Summit Corp,Mid-size (201-1000),"Atlanta, GA",GA,On-site,Senior (6-9 yrs),6,9,PhD,118000,157000,136000,Compensation|Talent Acquisition|Employment Law,Flexible Hours|Stock Options|Parental Leave,33,52,Senior,0,Law,3.59,HR Manager
J0000004,2022-01-21,2022,1,Healthcare,Summit Systems,Large (1001-5000),"New York, NY",NY,Hybrid,Senior (6-9 yrs),6,9,Bachelor's,247000,359000,306000,Terraform|GCP|Microservices,401k|Learning Budget|Remote Work|Unlimited PTO|Stock Options,15,142,Senior,0,Information Systems,3.48,Cloud Architect
J0000005,2024-11-07,2024,11,Manufacturing,Stellar Ventures,Large (1001-5000),"Washington, DC",DC,On-site,Mid (3-5 yrs),3,5,Master's,163000,218000,185000,Git|Kubernetes|Java|Docker|Python|REST APIs,Stock Options|Dental/Vision|Remote Work|Health Insurance,53,342,Mid,0,Information Systems|Informatics Engineering|Computer Science,3.12,Software Engineer
J0000006,2023-11-01,2023,11,Logistics,Nexus Partners,Small (51-200),"Chicago, IL",IL,On-site,Lead (10-15 yrs),10,15,Bachelor's,145000,187000,167000,Lean|Budgeting|Process Improvement|ERP,Parental Leave|Flexible Hours|Unlimited PTO,24,93,Lead,0,Management,3.12,Operations Manager
J0000007,2020-06-09,2020,6,Government,Synergy AI,Startup (1-50),"Los Angeles, CA",CA,On-site,Senior (6-9 yrs),6,9,Bachelor's,166000,244000,204000,Statistics|R|Python|C++|Derivatives,Learning Budget|Dental/Vision|Gym Membership,12,111,Senior,0,Informatics Engineering,3.05,Quantitative Analyst
J0000008,2023-09-15,2023,9,Government,Nova Technologies,Small (51-200),"New York, NY",NY,Hybrid,Mid (3-5 yrs),3,5,Master's,222000,319000,264000,Python|Derivatives|Risk Management|R|C++,401k|Unlimited PTO|Remote Work|Dental/Vision,23,120,Mid,0,Mathematics,3.69,Quantitative Analyst
J0000009,2024-03-15,2024,3,E-commerce,Apex Technologies,Mid-size (201-1000),"Phoenix, AZ",AZ,Hybrid,Mid (3-5 yrs),3,5,Bachelor's,134000,202000,169000,Java|Docker|AWS|Python|CI/CD,Gym Membership|Remote Work,23,127,Mid,0,Informatics Engineering|Information Systems|Computer Science,3.48,Senior Software Engineer
J0000010,2023-09-30,2023,9,Media,Stellar Technologies,Startup (1-50),"San Francisco, CA",CA,On-site,Entry (0-2 yrs),0,2,Master's,126000,159000,141000,dbt|Snowflake|AWS|Spark|Python,Flexible Hours|Parental Leave|Gym Membership|401k|Learning Budget,12,51,Junior,0,Statistics,3.57,Data Engineer
